Std,Su,Sy,A5,Bhn,E,G,mu,Ro,pH,HV
ANSI ANSI Leaded Tin Bronze C92900 Desconhecido,324,179,20.0,0.0,120000,45000,0.31,8800,0.0,0.0
ANSI ANSI High Leaded Tin Bronze C93200 Desconhecido,241,124,20.0,0.0,120000,45000,0.31,8800,0.0,0.0
ANSI ANSI High Leaded Tin Bronze C93400 Desconhecido,221,110,20.0,0.0,120000,45000,0.31,8800,0.0,0.0
ANSI ANSI High Leaded Tin Bronze C93500 Desconhecido,221,110,20.0,0.0,120000,45000,0.31,8800,0.0,0.0
ANSI ANSI High Leaded Tin Bronze C93700 Desconhecido,241,124,20.0,0.0,120000,45000,0.31,8800,0.0,0.0
ANSI ANSI High Leaded Tin Bronze C93800 Desconhecido,207,110,18.0,0.0,120000,45000,0.31,8800,0.0,0.0
ANSI ANSI High Leaded Tin Bronze C93900 Desconhecido,221,152,7.0,0.0,120000,45000,0.31,8800,0.0,0.0
ANSI ANSI High Leaded Tin Bronze C94300 Desconhecido,186,90,15.0,0.0,120000,45000,0.31,8800,0.0,0.0
ANSI ANSI High Leaded Tin Bronze C94400 Desconhecido,221,110,18.0,0.0,120000,45000,0.31,8800,0.0,0.0
ANSI ANSI High Leaded Tin Bronze C94500 Desconhecido,172,83,12.0,0.0,120000,45000,0.31,8800,0.0,0.0
ANSI ANSI Nickel-Tin Bronze C94700 Desconhecido,345,159,35.0,0.0,120000,45000,0.31,8800,0.0,0.0
ANSI ANSI Nickel-Tin Bronze C94800 Desconhecido,310,159,35.0,0.0,120000,45000,0.31,8800,0.0,0.0
ANSI ANSI Aluminum Bronze C95200 Desconhecido,552,186,35.0,0.0,120000,45000,0.32,8800,0.0,0.0
ANSI ANSI Aluminum Bronze C95300 Desconhecido,517,186,25.0,0.0,120000,45000,0.32,8800,0.0,0.0
ANSI ANSI Aluminum Bronze C95400 Desconhecido,586,241,18.0,0.0,120000,45000,0.32,8800,0.0,0.0
ANSI ANSI Aluminum Bronze C95500 Desconhecido,689,303,12.0,0.0,120000,45000,0.32,8800,0.0,0.0
ANSI ANSI Aluminum Bronze C95600 Desconhecido,517,234,18.0,0.0,120000,45000,0.32,8800,0.0,0.0
ANSI ANSI Aluminum Bronze C95700 Desconhecido,655,310,26.0,0.0,120000,45000,0.32,8800,0.0,0.0
ANSI ANSI Aluminum Bronze C95800 Desconhecido,655,262,25.0,0.0,120000,45000,0.32,8800,0.0,0.0
ANSI ANSI Copper-Nickel C96200 Desconhecido,310,172,20.0,0.0,100000,37000,0.34,8500,0.0,0.0
ANSI ANSI Copper-Nickel C96300 Desconhecido,517,379,10.0,0.0,100000,37000,0.34,8500,0.0,0.0
ANSI ANSI Copper-Nickel C96400 Desconhecido,469,255,28.0,0.0,100000,37000,0.34,8500,0.0,0.0
ANSI ANSI Copper-Nickel C96600 Desconhecido,758,483,7.0,0.0,100000,37000,0.34,8500,0.0,0.0
ANSI ANSI Nickel Silver C97300 Desconhecido,241,117,20.0,0.0,100000,37000,0.34,8500,0.0,0.0
ANSI ANSI Nickel Silver C97400 Desconhecido,262,117,20.0,0.0,100000,37000,0.34,8500,0.0,0.0
ANSI ANSI Nickel Silver C97600 Desconhecido,310,165,20.0,0.0,100000,37000,0.34,8500,0.0,0.0
ANSI ANSI Nickel Silver C97800 Desconhecido,379,207,15.0,0.0,100000,37000,0.34,8500,0.0,0.0
ANSI ANSI Special Alloy C99300 Desconhecido,655,379,2.0,0.0,100000,37000,0.34,8500,0.0,0.0
ANSI ANSI Special Alloy C99400 Desconhecido,455,234,25.0,0.0,100000,37000,0.34,8500,0.0,0.0
ANSI ANSI Special Alloy C99500 Desconhecido,483,276,12.0,0.0,100000,37000,0.34,8500,0.0,0.0
ANSI ANSI Special Alloy C99700 Desconhecido,379,172,25.0,0.0,100000,37000,0.34,8500,0.0,0.0
ANSI ANSI Special Alloy C99750 Desconhecido,448,221,30.0,0.0,100000,37000,0.34,8500,0.0,0.0
ANSI ANSI Copper Alloy C10100 Desconhecido,221,69,55.0,0.0,108000,40000,0.35,8930,0.0,0.0
ANSI ANSI Copper Alloy C15000 Desconhecido,200,41,54.0,0.0,108000,40000,0.35,8930,0.0,0.0
ANSI ANSI Copper Alloy C15500 Desconhecido,276,124,40.0,0.0,108000,40000,0.35,8930,0.0,0.0
ANSI ANSI Copper Alloy C15715 Desconhecido,359,303,27.0,0.0,108000,40000,0.35,8930,0.0,0.0
